delivery_id,customer_id,driver_id,vehicle_id,route_id,delivery_date,delivery_zone,delivery_status,delivery_time_minutes,delivery_cost,distance_km
1,1,1,1,1,2026-04-01,London Central,Delivered,35,18.50,12.5
2,2,2,2,3,2026-04-01,Manchester Central,Delivered,40,22.00,15.0
3,3,3,5,4,2026-04-02,Birmingham North,Delayed,65,31.75,22.7
4,4,1,1,5,2026-04-02,Leeds City Centre,Delivered,30,16.40,10.8
5,5,5,5,2,2026-04-03,London East,In Transit,50,24.90,18.2
6,6,2,4,6,2026-04-03,Liverpool South,Delivered,75,38.20,28.4
7,7,3,2,7,2026-04-04,Bristol Centre,Cancelled,90,0.00,32.1
8,8,5,3,8,2026-04-04,Sheffield West,Delivered,55,21.60,20.6
9,9,1,1,5,2026-04-05,Leeds City Centre,Delivered,32,17.25,10.8
10,10,2,5,1,2026-04-05,London Central,Delayed,48,19.80,12.5
11,1,3,3,2,2026-04-06,London East,Delivered,52,23.10,18.2
12,2,5,2,3,2026-04-06,Manchester Central,In Transit,42,22.50,15.0
13,3,1,1,4,2026-04-07,Birmingham North,Delivered,63,30.40,22.7
14,4,2,4,6,2026-04-07,Liverpool South,Delivered,78,39.00,28.4
15,5,3,5,7,2026-04-08,Bristol Centre,Delayed,95,34.25,32.1
